income,age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
not_high,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States
not_high,54,Private,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States
not_high,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States
not_high,34,Private,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States
not_high,38,Private,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States
high,74,State-gov,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States
not_high,68,Federal-gov,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States
high,45,Private,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States
high,38,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States
high,52,Private,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States
high,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States
high,46,Private,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States
high,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States
high,57,Private,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States
high,34,Private,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States
high,37,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States
not_high,29,Private,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States
not_high,61,Private,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States
not_high,51,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States
not_high,21,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States
not_high,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico
not_high,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,Greece
high,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States
high,38,Private,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States
high,23,Private,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States
high,59,Self-emp-inc,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States
high,52,Private,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States
high,51,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States
high,60,Self-emp-not-inc,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States
high,63,Federal-gov,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States
high,53,Private,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States
high,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States
high,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States
high,54,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States
high,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States
high,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States
high,51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States
high,43,Private,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States
high,48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States
not_high,71,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States
not_high,73,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam
high,40,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States
high,50,Private,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States
high,51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States
high,42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States
high,39,Private,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States
high,32,Private,13,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States
high,53,Private,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States
high,40,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States
high,38,Private,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States
high,33,Private,11,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States
high,43,Private,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States
high,50,Self-emp-inc,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States
high,44,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States
high,51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China
high,41,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States
high,37,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States
high,55,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece
